subject,latitude,longitude
Transportation - Traffic Division,42.3844,-71.0773
Public Works Department,42.3308,-71.0429
Transportation - Traffic Division,42.2868,-71.0690
Public Works Department,42.3119,-71.1089
Public Works Department,42.3821,-71.0212
Parks & Recreation Department,42.3183,-71.0642
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2800,-71.0603
Public Works Department,42.2751,-71.1316
Transportation - Traffic Division,42.2718,-71.0971
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3898,-71.0092
Transportation - Traffic Division,42.3333,-71.0422
Public Works Department,42.2716,-71.1258
Transportation - Traffic Division,42.2813,-71.0628
Transportation - Traffic Division,42.3346,-71.0311
Transportation - Traffic Division,42.3355,-71.0291
Public Works Department,42.2880,-71.0785
Public Works Department,42.3507,-71.1399
Inspectional Services,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3081,-71.0667
Public Works Department,42.3152,-71.0831
Transportation - Traffic Division,42.2709,-71.1468
Inspectional Services,42.3438,-71.0961
Public Works Department,42.3699,-71.0359
Public Works Department,42.2588,-71.1295
Inspectional Services,42.3594,-71.0587
Public Works Department,42.3646,-71.0564
Mayor's 24 Hour Hotline,42.2832,-71.0881
Public Works Department,42.2865,-71.0911
Public Works Department,42.3196,-71.0757
Parks & Recreation Department,42.3100,-71.0638
Public Works Department,42.3427,-71.1557
Mayor's 24 Hour Hotline,42.3378,-71.0701
Public Works Department,42.2727,-71.1314
Inspectional Services,42.3462,-71.0360
Public Works Department,42.3414,-71.0565
Public Works Department,42.2741,-71.0659
Public Works Department,42.3317,-71.0337
Public Works Department,42.3036,-71.0848
Public Works Department,42.3594,-71.0587
Public Works Department,42.3532,-71.0491
Public Works Department,42.3283,-71.0825
Public Works Department,42.3673,-71.0545
Public Works Department,42.3679,-71.0559
Public Works Department,42.3435,-71.0751
Public Works Department,42.2963,-71.0574
Transportation - Traffic Division,42.2680,-71.1188
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Inspectional Services,42.3751,-71.0334
Mayor's 24 Hour Hotline,42.3331,-71.0752
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3238,-71.0588
Transportation - Traffic Division,42.3334,-71.0278
Boston Water & Sewer Commission,42.3594,-71.0587
Public Works Department,42.3258,-71.1123
Public Works Department,42.3589,-71.0704
Transportation - Traffic Division,42.2510,-71.1223
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3248,-71.1126
Public Works Department,42.3800,-71.0581
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3503,-71.0908
Public Works Department,42.3594,-71.0587
Public Works Department,42.2775,-71.1186
Public Works Department,42.3523,-71.1220
Transportation - Traffic Division,42.3398,-71.0801
Public Works Department,42.2890,-71.1374
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3230,-71.0945
Transportation - Traffic Division,42.3594,-71.0587
Property Management,42.3474,-71.0905
Inspectional Services,42.3296,-71.0703
Public Works Department,42.3309,-71.0350
Inspectional Services,42.3296,-71.0703
Transportation - Traffic Division,42.3023,-71.0552
Transportation - Traffic Division,42.3053,-71.1125
Public Works Department,42.3507,-71.0584
Public Works Department,42.2782,-71.0708
Public Works Department,42.3094,-71.1178
Public Works Department,42.3854,-71.0190
Public Works Department,42.2517,-71.1257
Public Works Department,42.3218,-71.0945
Public Works Department,42.2751,-71.1489
Public Works Department,42.3576,-71.0700
Public Works Department,42.3566,-71.0698
Transportation - Traffic Division,42.3217,-71.0951
Transportation - Traffic Division,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2956,-71.0752
Parks & Recreation Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3589,-71.0709
Transportation - Traffic Division,42.3369,-71.0513
Public Works Department,42.3587,-71.0705
Public Works Department,42.3299,-71.0362
Public Works Department,42.3482,-71.1627
Public Works Department,42.3108,-71.0880
Public Works Department,42.2672,-71.1014
Public Works Department,42.3145,-71.0850
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3242,-71.0724
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3084,-71.0821
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3587,-71.1549
Public Works Department,42.3194,-71.0643
Public Works Department,42.2982,-71.1136
Public Works Department,42.3420,-71.0727
Transportation - Traffic Division,42.3103,-71.0633
Public Works Department,42.3442,-71.1685
Transportation - Traffic Division,42.3210,-71.1074
Parks & Recreation Department,42.3397,-71.0736
Public Works Department,42.3594,-71.0587
Public Works Department,42.2488,-71.1173
Public Works Department,42.2718,-71.0919
Transportation - Traffic Division,42.3641,-71.0519
Transportation - Traffic Division,42.3770,-71.0317
Transportation - Traffic Division,42.3329,-71.0413
Inspectional Services,42.2770,-71.0925
Transportation - Traffic Division,42.3034,-71.1085
Public Works Department,42.3366,-71.0447
Inspectional Services,42.3594,-71.0587
Public Works Department,42.3446,-71.0987
Transportation - Traffic Division,42.3357,-71.0494
Public Works Department,42.3488,-71.0859
Transportation - Traffic Division,42.3338,-71.0466
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.2890,-71.0499
Mayor's 24 Hour Hotline,42.3243,-71.0563
Public Works Department,42.3593,-71.1414
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3572,-71.0725
Public Works Department,42.3362,-71.0763
Transportation - Traffic Division,42.3594,-71.0587
Parks & Recreation Department,42.3072,-71.0832
Public Works Department,42.2857,-71.1555
Transportation - Traffic Division,42.3749,-71.0643
Mayor's 24 Hour Hotline,42.3601,-71.0509
Public Works Department,42.3146,-71.0820
Public Works Department,42.2866,-71.1537
Transportation - Traffic Division,42.3208,-71.1104
Public Works Department,42.3904,-71.0066
Public Works Department,42.3498,-71.0655
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.2900,-71.0409
Public Works Department,42.3492,-71.1720
Public Works Department,42.2822,-71.1323
Public Works Department,42.3837,-71.0011
Transportation - Traffic Division,42.3876,-71.0055
Transportation - Traffic Division,42.3731,-71.0395
Public Works Department,42.2955,-71.0794
Transportation - Traffic Division,42.2921,-71.0498
Transportation - Traffic Division,42.2867,-71.0884
Inspectional Services,42.3313,-71.0490
Public Works Department,42.2950,-71.1155
Public Works Department,42.3476,-71.1522
Property Management,42.3146,-71.0820
Public Works Department,42.2728,-71.0719
Public Works Department,42.3476,-71.1522
Public Works Department,42.2882,-71.0625
Public Works Department,42.2878,-71.1155
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3513,-71.0832
Public Works Department,42.3688,-71.0389
Public Works Department,42.3594,-71.0587
Public Works Department,42.2849,-71.1637
Public Works Department,42.2794,-71.0704
Public Works Department,42.2936,-71.0605
Public Works Department,42.3705,-71.0359
Transportation - Traffic Division,42.2917,-71.0916
Public Works Department,42.2889,-71.0892
Public Works Department,42.3594,-71.0587
Public Works Department,42.3572,-71.0705
Public Works Department,42.2936,-71.0605
Transportation - Traffic Division,42.3804,-71.0627
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3403,-71.0516
Public Works Department,42.2795,-71.0538
Transportation - Traffic Division,42.3376,-71.0303
Public Works Department,42.2851,-71.1354
Property Management,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3153,-71.0551
Public Works Department,42.3594,-71.0587
Public Works Department,42.3478,-71.1570
Public Works Department,42.3154,-71.0869
Public Works Department,42.3594,-71.0587
Inspectional Services,42.2877,-71.1666
Mayor's 24 Hour Hotline,42.3549,-71.0753
Property Management,42.3423,-71.0724
Animal Control,42.3610,-71.0522
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3169,-71.0698
Public Works Department,42.3552,-71.0624
Inspectional Services,42.3688,-71.0365
Public Works Department,42.3367,-71.0752
Public Works Department,42.3660,-71.0575
Public Works Department,42.3549,-71.1599
Inspectional Services,42.2850,-71.0490
Transportation - Traffic Division,42.3105,-71.1050
Transportation - Traffic Division,42.3594,-71.0587
Parks & Recreation Department,42.3413,-71.0832
Public Works Department,42.3796,-71.0654
Public Works Department,42.2829,-71.0649
Public Works Department,42.2676,-71.0962
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3476,-71.0639
Public Works Department,42.3462,-71.0640
Public Works Department,42.3594,-71.0587
Public Works Department,42.3195,-71.0804
Transportation - Traffic Division,42.3519,-71.0697
Transportation - Traffic Division,42.3357,-71.0254
Public Works Department,42.3338,-71.0269
Public Works Department,42.3215,-71.1070
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3569,-71.0613
Public Works Department,42.3607,-71.0564
Public Works Department,42.3206,-71.0798
Public Works Department,42.3594,-71.0587
Public Works Department,42.3460,-71.0822
Public Works Department,42.3593,-71.0654
Public Works Department,42.3227,-71.0766
Public Works Department,42.3590,-71.0679
Parks & Recreation Department,42.3594,-71.0587
Public Works Department,42.3110,-71.0554
Public Works Department,42.3559,-71.1597
Public Works Department,42.3833,-71.0755
Public Works Department,42.3610,-71.1314
Public Works Department,42.3434,-71.0723
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3547,-71.0550
Transportation - Traffic Division,42.3369,-71.0311
Inspectional Services,42.3108,-71.0888
Inspectional Services,42.3108,-71.0888
Transportation - Traffic Division,42.3795,-71.0611
Public Works Department,42.2829,-71.0649
Transportation - Traffic Division,42.3149,-71.0596
Public Works Department,42.2883,-71.0796
Public Works Department,42.2883,-71.0796
Public Works Department,42.3833,-71.0755
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2964,-71.0848
Public Works Department,42.3726,-71.0359
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3025,-71.0830
Transportation - Traffic Division,42.3370,-71.0270
Public Works Department,42.3550,-71.0587
Public Works Department,42.3554,-71.0586
Public Works Department,42.3772,-71.0565
Transportation - Traffic Division,42.3352,-71.0458
Public Works Department,42.3833,-71.0755
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3413,-71.0832
Public Works Department,42.3244,-71.0551
Public Works Department,42.3244,-71.0551
Transportation - Traffic Division,42.3439,-71.1016
Public Works Department,42.2680,-71.1511
Public Works Department,42.3833,-71.0755
Mayor's 24 Hour Hotline,42.3266,-71.0704
Mayor's 24 Hour Hotline,42.3388,-71.0807
Public Works Department,42.3381,-71.0775
Parks & Recreation Department,42.2808,-71.1550
Public Works Department,42.2889,-71.0731
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3159,-71.0632
Transportation - Traffic Division,42.3150,-71.0593
Parks & Recreation Department,42.2802,-71.0711
Public Works Department,42.3592,-71.0663
